TIME,GEO,UNIT,INDX,COICOP,Value,Flag and Footnotes
2016M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,44",
2016M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,87",
2016M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"101,36",
2017M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,2",
2017M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,18",
2017M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,34",
2017M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,13",
2017M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,39",
2017M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,06",
2017M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"101,98",
2017M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,05",
2017M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,25",
2017M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,97",
2017M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,14",
2017M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,36",
2018M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,89",
2018M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,69",
2018M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,87",
2018M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,04",
2018M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,6",
2018M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,47",
2018M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,09",
2018M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,07",
2018M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,48",
2018M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,6",
2018M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,51",
2018M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,68",
2019M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,35",
2019M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,69",
2019M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,32",
2019M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,28",
2019M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,82",
2019M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,88",
2019M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,98",
2019M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,21",
2019M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,85",
2019M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,95",
2019M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,23",
2019M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,51",
2020M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,2",
2020M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,69",
2020M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,82",
2020M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,35",
2020M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,6",
2020M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,2",
2020M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,75",
2020M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,58",
2020M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,42",
2020M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,87",
2020M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,02",
2020M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,53",
2021M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,28",
2021M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,53",
2021M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,58",
2021M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,26",
2021M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,6",
2021M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,32",
2021M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,26",
2021M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,64",
2021M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,5",
2021M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,78",
2021M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"110,4",
2021M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,35",
2022M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"112,58",
2022M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"113,72",
2022M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"114,91",
2022M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"117,62",
